Address,Data Type,Modbus Address,Function Code,Nickname,Initial Value,Retentive,Address Comment
Y032,BIT,201Bh,"FC=01,05,15","",0,No,""
Y033,BIT,201Ch,"FC=01,05,15","",0,No,""
Y034,BIT,201Dh,"FC=01,05,15","",0,No,""
Y035,BIT,201Eh,"FC=01,05,15","",0,No,""
Y036,BIT,201Fh,"FC=01,05,15","",0,No,""
Y101,BIT,2020h,"FC=01,05,15","",0,No,""
Y102,BIT,2021h,"FC=01,05,15","",0,No,""
Y103,BIT,2022h,"FC=01,05,15","",0,No,""
Y104,BIT,2023h,"FC=01,05,15","",0,No,""
Y105,BIT,2024h,"FC=01,05,15","",0,No,""
Y106,BIT,2025h,"FC=01,05,15","",0,No,""
Y107,BIT,2026h,"FC=01,05,15","",0,No,""
Y108,BIT,2027h,"FC=01,05,15","",0,No,""
Y109,BIT,2028h,"FC=01,05,15","",0,No,""
Y110,BIT,2029h,"FC=01,05,15","",0,No,""
Y111,BIT,202Ah,"FC=01,05,15","",0,No,""
Y112,BIT,202Bh,"FC=01,05,15","",0,No,""
Y113,BIT,202Ch,"FC=01,05,15","",0,No,""
Y114,BIT,202Dh,"FC=01,05,15","",0,No,""
Y115,BIT,202Eh,"FC=01,05,15","",0,No,""
Y116,BIT,202Fh,"FC=01,05,15","",0,No,""
Y201,BIT,2040h,"FC=01,05,15","",0,No,""
Y202,BIT,2041h,"FC=01,05,15","",0,No,""
Y203,BIT,2042h,"FC=01,05,15","",0,No,""
Y204,BIT,2043h,"FC=01,05,15","",0,No,""
Y205,BIT,2044h,"FC=01,05,15","",0,No,""
Y206,BIT,2045h,"FC=01,05,15","",0,No,""
Y207,BIT,2046h,"FC=01,05,15","",0,No,""
Y208,BIT,2047h,"FC=01,05,15","",0,No,""
Y209,BIT,2048h,"FC=01,05,15","",0,No,""
Y210,BIT,2049h,"FC=01,05,15","",0,No,""
Y211,BIT,204Ah,"FC=01,05,15","",0,No,""
Y212,BIT,204Bh,"FC=01,05,15","",0,No,""
Y213,BIT,204Ch,"FC=01,05,15","",0,No,""
Y214,BIT,204Dh,"FC=01,05,15","",0,No,""
Y215,BIT,204Eh,"FC=01,05,15","",0,No,""
Y216,BIT,204Fh,"FC=01,05,15","",0,No,""
Y301,BIT,2060h,"FC=01,05,15","",0,No,""
Y302,BIT,2061h,"FC=01,05,15","",0,No,""
Y303,BIT,2062h,"FC=01,05,15","",0,No,""
Y304,BIT,2063h,"FC=01,05,15","",0,No,""
Y305,BIT,2064h,"FC=01,05,15","",0,No,""
Y306,BIT,2065h,"FC=01,05,15","",0,No,""
Y307,BIT,2066h,"FC=01,05,15","",0,No,""
Y308,BIT,2067h,"FC=01,05,15","",0,No,""
Y309,BIT,2068h,"FC=01,05,15","",0,No,""
Y310,BIT,2069h,"FC=01,05,15","",0,No,""
Y311,BIT,206Ah,"FC=01,05,15","",0,No,""
Y312,BIT,206Bh,"FC=01,05,15","",0,No,""
Y313,BIT,206Ch,"FC=01,05,15","",0,No,""
Y314,BIT,206Dh,"FC=01,05,15","",0,No,""
Y315,BIT,206Eh,"FC=01,05,15","",0,No,""
Y316,BIT,206Fh,"FC=01,05,15","",0,No,""
Y401,BIT,2080h,"FC=01,05,15","",0,No,""
Y402,BIT,2081h,"FC=01,05,15","",0,No,""
Y403,BIT,2082h,"FC=01,05,15","",0,No,""
Y404,BIT,2083h,"FC=01,05,15","",0,No,""
Y405,BIT,2084h,"FC=01,05,15","",0,No,""
Y406,BIT,2085h,"FC=01,05,15","",0,No,""
Y407,BIT,2086h,"FC=01,05,15","",0,No,""
Y408,BIT,2087h,"FC=01,05,15","",0,No,""
Y409,BIT,2088h,"FC=01,05,15","",0,No,""
Y410,BIT,2089h,"FC=01,05,15","",0,No,""
Y411,BIT,208Ah,"FC=01,05,15","",0,No,""
Y412,BIT,208Bh,"FC=01,05,15","",0,No,""
Y413,BIT,208Ch,"FC=01,05,15","",0,No,""
Y414,BIT,208Dh,"FC=01,05,15","",0,No,""
Y415,BIT,208Eh,"FC=01,05,15","",0,No,""
Y416,BIT,208Fh,"FC=01,05,15","",0,No,""
Y501,BIT,20A0h,"FC=01,05,15","",0,No,""
Y502,BIT,20A1h,"FC=01,05,15","",0,No,""
Y503,BIT,20A2h,"FC=01,05,15","",0,No,""
Y504,BIT,20A3h,"FC=01,05,15","",0,No,""
Y505,BIT,20A4h,"FC=01,05,15","",0,No,""
Y506,BIT,20A5h,"FC=01,05,15","",0,No,""
Y507,BIT,20A6h,"FC=01,05,15","",0,No,""
Y508,BIT,20A7h,"FC=01,05,15","",0,No,""
Y509,BIT,20A8h,"FC=01,05,15","",0,No,""
Y510,BIT,20A9h,"FC=01,05,15","",0,No,""
Y511,BIT,20AAh,"FC=01,05,15","",0,No,""
Y512,BIT,20ABh,"FC=01,05,15","",0,No,""
Y513,BIT,20ACh,"FC=01,05,15","",0,No,""
Y514,BIT,20ADh,"FC=01,05,15","",0,No,""
Y515,BIT,20AEh,"FC=01,05,15","",0,No,""
Y516,BIT,20AFh,"FC=01,05,15","",0,No,""
Y601,BIT,20C0h,"FC=01,05,15","",0,No,""
Y602,BIT,20C1h,"FC=01,05,15","",0,No,""
Y603,BIT,20C2h,"FC=01,05,15","",0,No,""
Y604,BIT,20C3h,"FC=01,05,15","",0,No,""
Y605,BIT,20C4h,"FC=01,05,15","",0,No,""
Y606,BIT,20C5h,"FC=01,05,15","",0,No,""
Y607,BIT,20C6h,"FC=01,05,15","",0,No,""
Y608,BIT,20C7h,"FC=01,05,15","",0,No,""
Y609,BIT,20C8h,"FC=01,05,15","",0,No,""
Y610,BIT,20C9h,"FC=01,05,15","",0,No,""
